,plot,aPAR_mean,bPAR_mean,tau_mean,LAI_mean,aPAR_sd,bPAR_sd,tau_sd,LAI_sd,Leaf.Distribuition...._sd,Beam.Fraction..Fb._sd,Zenith.Angle_sd,Latitude_sd,Longitude_sd,fPAR_sd,regime_sd
42,OSBS31,2124.733333,1392.266667,0.651,1.333333333,61.22910528,79.91284836,0.049959984,0.235442845,0,0,0,0,0,0.057248536,0
43,OSBS32,2181.333333,1464.833333,0.669333333,1.153333333,34.62085114,62.71916241,0.035019042,0.086216781,0,0,0.577350269,0,0,0.036165497,0
44,OSBS33,1922.8,1189.9,0.617333333,1.153333333,24.91505569,300.3935585,0.15921474,0.512867754,0,0,0.577350269,0,0,0.160802647,0
45,OSBS34,2024.3,937.0666667,0.460666667,1.933333333,37.72108164,235.8449561,0.108721356,0.489523578,0,0,0.577350269,0,0,0.108803097,0
46,OSBS35,2081.533333,1534.9,0.733,0.906666667,28.10984406,376.289875,0.175579042,0.655769268,0,0,0.577350269,0,0,0.177531136,0
47,OSBS36,2098.966667,1565.233333,0.739666667,0.95,44.50632914,308.1231788,0.137536662,0.564003546,0,0,0,0,0,0.141016882,0
48,OSBS37,2025.82,1715.52,0.9,0.29,46.99076505,65.15475424,0.072969172,0.235690475,0,0.35329874,0.547722558,0,0,0.037681014,0
49,OSBS38,1898.333333,1007.233333,0.529,1.33,15.15794621,187.861181,0.095015788,0.36373067,0,0,0.577350269,0,0,0.094755321,0
50,OSBS39,1981.566667,1452.833333,0.733333333,0.82,71.68970172,159.2746789,0.100201464,0.331511689,0,0,0,0,0,0.100482174,0
51,OSBS40,2103.166667,1305.233333,0.617666667,1.326666667,18.86964052,454.5043491,0.215323787,0.77021642,0,0,0.577350269,0,0,0.219789812,0
52,OSBS41,2124.966667,1756.866667,0.823333333,0.6,32.88104824,277.693092,0.122867137,0.473180727,0,0,0.577350269,0,0,0.122504213,0
53,OSBS42,1395.066667,601.8333333,0.428666667,1.44,38.93871253,150.4402318,0.096464156,0.304466747,0,0,0.577350269,0,0,0.096512515,0
54,OSBS43,2100.2,1184.866667,0.561,1.49,109.30892,223.3832879,0.07542546,0.277308492,0,0,0,0,0,0.075039052,0
55,OSBS44,1500.3,830.2,0.547333333,1.453333333,31.46156385,115.0062172,0.073221126,0.298719489,0,0.01,0.577350269,0,0,0.074056855,0
56,OSBSD1,1897.65,1055.525,0.55175,1.52,62.76604708,184.7225194,0.109228736,0.421030482,0,0.015,1.732050808,0,0,0.107388495,0
57,OSBSD4,2228.7,1580.325,0.7015,1.0325,49.12385707,128.3678666,0.062077908,0.166408133,0,0,0.5,0,0,0.066168586,0
58,OSBSD5,2316.033333,1723.633333,0.739,0.78,87.46761305,215.882661,0.08845903,0.307896086,0,0,0,0,0,0.088511247,0
59,OSBSD8,1949.32,1228.54,0.6264,1.044,692.6459536,527.3967179,0.141831943,0.525861198,0,0.380131556,0.836660027,0,0,0.148387278,0.447213595
60,RICEC1,1929.25,169.35,0.0625,6.115,55.08361825,187.595429,0.06151829,2.77892965,0,0.014142136,0.707106781,0,0,0.094769833,0
61,SCBI46,1429.5,93.16666667,0.064,5.333333333,81.20905122,45.67935347,0.028618176,0.281484162,0,0.043588989,0,0,0,0.029113123,0
62,SCBI47,1258.7,75.76666667,0.061333333,5.09,110.8649178,26.56921778,0.028041636,0.862612312,0,0.098657657,0,0,0,0.02626673,0
63,SCBI49,1323.233333,81.2,0.06,5.263333333,43.66237892,26.33191979,0.018248288,0.133166562,0,0.025166115,0,0,0,0.018439661,0
64,SCBI55,1169.266667,141.7666667,0.123,3.883333333,48.66562784,114.2353856,0.105057127,0.8326664,0,0.052915026,0.577350269,0,0,0.105200078,0
65,SCBI63,1392.366667,42.56666667,0.031,6.026666667,71.1414319,12.16566206,0.009539392,0.232880513,0,0.034641016,0,0,0,0.008872981,0
66,SCBI66,1246.133333,131.5333333,0.105666667,4.176666667,156.6881085,59.70547155,0.05101307,0.65454819,0,0.115325626,0.577350269,0,0,0.051073656,0
67,TALL46,66.2,25.3,0.378,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,TALL49,1338.7,254.8666667,0.191666667,3.463333333,85.79813518,102.3183431,0.083344666,0.703159536,0,0.068068593,0,0,0,0.082956367,0
69,TALL53,1113.9,313.9,0.282333333,2.18,168.1076738,37.40280738,0.069082077,0.572974694,0,0.165025251,0.577350269,0,0,0.080012359,0.577350269
70,TALL55,1292.666667,485.1666667,0.376333333,1.916666667,45.13671824,162.9269877,0.13450031,0.521568148,0,0.030550505,0.577350269,0,0,0.134655585,0
71,TALL58,1072.5,331.2666667,0.307666667,1.843333333,26.98166044,17.95364401,0.02136196,0.145028733,0,0.026457513,0.577350269,0,0,0.021457784,0
72,TREE25,1855.7,282.4333333,0.150333333,5.306666667,20.11442269,204.5750311,0.107621249,1.789115238,0,0.005773503,0.577350269,0,0,0.108273304,0
73,TREE39,1694.2,397.6,0.23,4.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,TREE41,1562.533333,283.3666667,0.178333333,4.12,60.36963917,117.7962789,0.067485801,0.633166645,0,0.023094011,0.577350269,0,0,0.067845281,0
75,TREE45,1749.3,725.05,0.411,2.64,47.23473298,49.85102807,0.036769553,0.325269119,0,0.014142136,0,0,0,0.039703998,0
76,TREE46,1329.4,139.7,0.1135,3.62,211.5663489,33.37544007,0.050204581,0.353553391,0,0.035355339,0.707106781,0,0,0.042365811,0
77,TREE47,1613.066667,199.6666667,0.123333333,4.92,50.04741086,114.381875,0.073145973,0.736545993,0,0.017320508,0,0,0,0.073985318,0
78,TREE49,1705.066667,111.7666667,0.064666667,5.11,0.960902354,38.60379947,0.022501852,0.115325626,0,0,0.577350269,0,0,0.022642282,0
79,TREE56,1580.933333,184.0333333,0.115333333,3.286666667,15.95754785,86.44173375,0.054151023,0.29280255,0,0,0.577350269,0,0,0.054272654,0
80,UNDE45,1381.25,67,0.0475,5.285,188.7267999,8.909545443,0.000707107,0.586898628,0,0.120208153,0,0,0,0.000179036,0
81,UNDE47,118.2,18.4,0.154,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,UNDE48,99.4,36.95,0.3745,1.27,5.798275606,9.687362902,0.118086832,0.480832611,0,0,0.707106781,0,0,0.119345485,0
83,UNDE49,104.05,32.3,0.312,1.535,35.42604974,10.60660172,0.004242641,0.077781746,0,0,0,0,0,0.003985184,0
84,UNDE50,693.9333333,151.5333333,0.388,2.276666667,984.5789675,150.4205216,0.213028167,2.378283695,0,0.508068237,0.577350269,0,0,0.274064619,0.577350269
85,UVAXA4,1575.8,117.7,0.073333333,5.196666667,110.8649178,48.40237597,0.029399546,0.486449723,0,0.04,0.577350269,0,0,0.029716069,0
