"","plotid","npp_mc"
"77","TREE_050",1.27408460027412
"78","TREE_050",1.42467477287103
"79","TREE_050",1.17029037836508
"80","TREE_050",1.10149058121558
"81","TREE_050",1.21386561102874
"82","TREE_050",1.08936131529536
"83","TREE_050",1.39286260890759
"84","TREE_050",1.08583530795456
"85","TREE_050",1.15681826629128
"86","TREE_050",1.36818249059961
"87","TREE_050",1.22214064489954
"88","TREE_050",1.08232869211136
"89","TREE_050",1.12866787124864
"90","TREE_050",1.3888885182951
"91","TREE_050",1.22664316784458
"92","TREE_050",0.918258919763278
"93","TREE_050",1.30314913685988
"94","TREE_050",1.12053196091775
"95","TREE_050",1.39941659446023
"96","TREE_050",1.40870811911997
"97","TREE_050",1.42254856400839
"98","TREE_050",0.925296365082192
"99","TREE_050",0.992762355016197
"100","TREE_050",1.37076191440088
"101","TREE_050",0.887203739481431
"102","TREE_050",1.1260907607594
"103","TREE_050",1.32695501610243
"104","TREE_050",1.10754585907653
"105","TREE_050",1.62743246276992
"106","TREE_050",1.2064413565235
"107","TREE_050",1.42644538161774
"108","TREE_050",1.33117239176058
"109","TREE_050",1.25163977993217
"110","TREE_050",1.03627307285646
"111","TREE_050",1.29584608055584
"112","TREE_050",1.21241379775796
"113","TREE_050",1.22112022043794
"114","TREE_050",1.33065113123789
"115","TREE_050",1.1993829026001
"116","TREE_050",1.16025973932024
"117","TREE_050",1.09229866276105
"118","TREE_050",1.35310040233613
"119","TREE_050",1.52775685967727
"120","TREE_050",1.35106003288523
"121","TREE_050",1.17092202401126
"122","TREE_050",1.20013224228362
"123","TREE_050",1.42364427304477
"124","TREE_050",1.22407277154483
"125","TREE_050",1.15927724069912
"126","TREE_050",1.63792084382982
"127","TREE_050",1.08687220934829
"128","TREE_050",1.13709352940153
"129","TREE_050",1.41799721819826
"130","TREE_050",1.35803331632979
"131","TREE_050",1.22481025522897
"132","TREE_050",1.36406484086966
"133","TREE_050",1.1554209651064
"134","TREE_050",0.955096549536992
"135","TREE_050",1.29838769393702
"136","TREE_050",1.04534488888519
"137","TREE_050",1.05222817657089
"138","TREE_050",1.30985296356493
"139","TREE_050",1.00610737538902
"140","TREE_050",1.2271360931049
"141","TREE_050",1.20874946767869
"142","TREE_050",1.13566944242787
"143","TREE_050",1.43367136814957
"144","TREE_050",0.934559306888829
"145","TREE_050",1.06126195451027
"146","TREE_050",1.1217256956681
"147","TREE_050",1.04993479314709
"148","TREE_050",1.3362138070775
"149","TREE_050",1.32756865287178
